Day,Time Slot,Subject,Teacher
Monday,8:50 - 9:30,Chemistry,
Monday,9:30 - 10:10,English,
Monday,10:20 - 11:00,Math,
Monday,11:00 - 11:40,Math,
Monday,11:40 - 12:20,Physics,
Monday,12:50 - 13:30,Physics,
Monday,13:30 - 14:10,Chemistry,
Monday,14:10 - 14:50,Dance,
Monday,14:50 - 15:30,Music,
Tuesday,8:50 - 9:30,Math,
Tuesday,9:30 - 10:10,Math,
Tuesday,10:20 - 11:00,English,
Tuesday,11:00 - 11:40,English,
Tuesday,11:40 - 12:20,Computer Science,
Tuesday,12:50 - 13:30,Computer Science,
Tuesday,13:30 - 14:10,Physics,
Tuesday,14:10 - 14:50,MSA,
Tuesday,14:50 - 15:30,MSA,
Wednesday,8:50 - 9:30,Math,
Wednesday,9:30 - 10:10,Math,
Wednesday,10:20 - 11:00,Chemistry,
Wednesday,11:00 - 11:40,Chemistry,
Wednesday,11:40 - 12:20,Computer Science,
Wednesday,12:50 - 13:30,Chemistry,
Wednesday,13:30 - 14:10,Computer Science,
Wednesday,14:10 - 14:50,Dance,
Wednesday,14:50 - 15:30,Music,
Thursday,8:50 - 9:30,Math,
Thursday,9:30 - 10:10,Physics,
Thursday,10:20 - 11:00,Art,
Thursday,11:00 - 11:40,Physics,
Thursday,11:40 - 12:20,Physics,
Thursday,12:50 - 13:30,English,
Thursday,13:30 - 14:10,English,
Thursday,14:10 - 14:50,Sports,
Thursday,14:50 - 15:30,Sports,
Friday,8:50 - 9:30,Computer Science,
Friday,9:30 - 10:10,Volleyball,
Friday,10:20 - 11:00,Chemistry,
Friday,11:00 - 11:40,Chemistry,
Friday,11:40 - 12:20,Physics,
Friday,12:50 - 13:30,Computer Science,
Friday,13:30 - 14:10,Computer Science,
Friday,14:10 - 14:50,Sports,
Friday,14:50 - 15:30,Sports,
Saturday,8:50 - 9:30,,
Saturday,9:30 - 10:10,,
Saturday,10:20 - 11:00,,
Saturday,11:00 - 11:40,,
Saturday,11:40 - 12:20,,
Saturday,12:50 - 13:30,,
Saturday,13:30 - 14:10,,
Saturday,14:10 - 14:50,,
Saturday,14:50 - 15:30,,
Sunday,8:50 - 9:30,,
Sunday,9:30 - 10:10,,
Sunday,10:20 - 11:00,,
Sunday,11:00 - 11:40,,
Sunday,11:40 - 12:20,,
Sunday,12:50 - 13:30,,
Sunday,13:30 - 14:10,,
Sunday,14:10 - 14:50,,
Sunday,14:50 - 15:30,,
